,job_title,low_end_salary,middle_range_salary,high_end_salary,company_name,job_location,sector,type_of_ownership,size_of_company,rating_of_company,cost_of_living_index,avg_salary_index,salary_col_differential,lat,lng,state
0,Data Scientist,53000,72000,91000,Tecolote Research,"Albuquerque, NM",Aerospace & Defense,Company - Private,501 to 1000 employees,3.8,92.9,70.1,36402,35.0843859,-106.650422,NM
1,Healthcare Data Scientist,63000,87500,112000,University of Maryland Medical System,"Linthicum, MD",Health Care,Other Organization,10000+ employees,3.4,NaN,85.2,NaN,39.2051077,-76.6527456,MD
2,Data Scientist,80000,85000,90000,KnowBe4,"Clearwater, FL",Business Services,Company - Private,501 to 1000 employees,4.8,NaN,82.8,NaN,27.9658533,-82.8001026,FL
3,Data Scientist,56000,76500,97000,PNNL,"Richland, WA","Oil, Gas, Energy & Utilities",Government,1001 to 5000 employees,3.8,NaN,74.5,NaN,46.28042000000001,-119.2751996,WA
4,Data Scientist,86000,114500,143000,Affinity Solutions,"New York, NY",Business Services,Company - Private,51 to 200 employees,2.9,128.0,111.6,65566,40.7127753,-74.0059728,NY
5,Data Scientist,71000,95000,119000,CyrusOne,"Dallas, TX",Real Estate,Company - Public,201 to 500 employees,3.4,98.5,92.6,57353,32.7766642,-96.79698789999999,TX
6,Data Scientist,54000,73500,93000,ClearOne Advantage,"Baltimore, MD",Finance,Company - Private,501 to 1000 employees,4.1,107.0,71.6,32546,39.2903848,-76.6121893,MD
7,Data Scientist,86000,114000,142000,Logic20/20,"San Jose, CA",Business Services,Company - Private,201 to 500 employees,3.8,173.5,111.1,47642,37.33874,-121.8852525,CA
8,Research Scientist,38000,61000,84000,Rochester Regional Health,"Rochester, NY",Health Care,Hospital,10000+ employees,3.3,96.6,59.4,24003,43.15657789999999,-77.6088465,NY
9,Data Scientist,120000,140000,160000,<intent>,"New York, NY",Information Technology,Company - Private,51 to 200 employees,4.6,128.0,136.4,91021,40.7127753,-74.0059728,NY
10,Data Scientist,126000,163500,201000,Wish,"San Jose, CA",Retail,Company - Private,501 to 1000 employees,3.5,173.5,159.3,97114,37.33874,-121.8852525,CA
11,Data Scientist,64000,85000,106000,ManTech,"Chantilly, VA",Business Services,Company - Public,5001 to 10000 employees,4.1,NaN,82.8,NaN,38.8942786,-77.43109919999999,VA
12,Staff Data Scientist - Technology,106000,139000,172000,Walmart,"Plano, TX",Retail,Company - Public,10000+ employees,3.2,NaN,135.4,NaN,33.0198431,-96.6988856,TX
13,Data Analyst,46000,65500,85000,Yesler,"Seattle, WA",Business Services,Company - Private,201 to 500 employees,4.1,124.6,63.8,17805,47.6062095,-122.3320708,WA
14,Data Scientist,83000,113500,144000,Takeda Pharmaceuticals,"Cambridge, MA",Biotech & Pharmaceuticals,Company - Public,10000+ employees,3.7,NaN,110.6,NaN,42.3736158,-71.10973349999999,MA
15,Data Engineer I,102000,146000,190000,Audible,"Newark, NJ",Media,Subsidiary or Business Segment,1001 to 5000 employees,3.6,NaN,142.2,NaN,40.735657,-74.1723667,NJ
16,"Scientist I/II, Biology",67000,102000,137000,Blueprint Medicines,"Cambridge, MA",Biotech & Pharmaceuticals,Company - Public,51 to 200 employees,3.9,NaN,99.4,NaN,42.3736158,-71.10973349999999,MA
17,Customer Data Scientist,118000,153500,189000,h2o.ai,"Mountain View, CA",Information Technology,Company - Private,201 to 500 employees,4.3,NaN,149.6,NaN,37.3860517,-122.0838511,CA
18,Data Scientist - Health Data Analytics,110000,142500,175000,Nuna,"San Francisco, CA",Information Technology,Company - Private,51 to 200 employees,4.2,178.6,138.8,74121,37.7749295,-122.4194155,CA
