state,middle_range_salary
AL,57937.5
AZ,85666.66666666667
CA,122493.24324324324
CO,94125.0
CT,71100.0
DC,110181.81818181818
FL,77625.0
GA,80666.66666666667
IA,78900.0
ID,56250.0
IL,116662.5
IN,90300.0
KS,87000.0
KY,97000.0
LA,63000.0
MA,108483.69565217392
MD,97357.14285714286
MI,100250.0
MN,85500.0
MO,84722.22222222222
NC,98452.38095238095
NE,57000.0
NJ,104558.82352941176
NM,74333.33333333333
NY,98485.91549295775
OH,87571.42857142857
OR,92125.0
PA,97209.67741935483
RI,100000.0
SC,60500.0
TN,100500.0
TX,100708.33333333333
UT,94150.0
VA,95621.9512195122
WA,93190.47619047618
WI,73300.0
