state,value
Alabama,91.2
Alaska,80.0
Arkansas,80.0
Arizona,104.3
California,170.3
Colorado,112.1
Connecticut,104.8
Delaware,80.0
District of Columbia,120.1
Florida,102.8
Georgia,100.3
Hawaii,80.0
Iowa,89.9
Idaho,80.0
Illinois,99.0
Indiana,90.2
Kansas,80.0
Kentucky,88.3
Louisiana,90.5
Maine,80.0
Maryland,107.0
Massachusetts,125.7
Michigan,95.2
Minnesota,105.4
Missouri,88.9
Mississippi,80.0
Montana,80.0
North Carolina,95.2
North Dakota,80.0
Nebraska,92.9
New Hampshire,80.0
New Jersey,80.0
New Mexico,92.9
Nevada,80.0
New York,122.9
Ohio,91.7
Oklahoma,80.0
Oregon,113.6
Pennsylvania,96.4
Rhode Island,111.5
South Carolina,91.9
South Dakota,80.0
Tennessee,94.7
Texas,100.2
Utah,104.4
Virginia,99.4
Vermont,80.0
Washington,122.3
Wisconsin,94.1
West Virginia,80.0
Wyoming,80.0
