,Job_Title,Salary_Estimate,Rating,Company_Name,Location,Size,Founded,Type_of_ownership,Sector,Revenue
0,Data Scientist,$53K-$91K (Glassdoor est.),3.8,"Tecolote Research
3.8","Albuquerque, NM",501 to 1000 employees,1973,Company - Private,Aerospace & Defense,$50 to $100 million (USD)
1,Healthcare Data Scientist,$63K-$112K (Glassdoor est.),3.4,"University of Maryland Medical System
3.4","Linthicum, MD",10000+ employees,1984,Other Organization,Health Care,$2 to $5 billion (USD)
2,Data Scientist,$80K-$90K (Glassdoor est.),4.8,"KnowBe4
4.8","Clearwater, FL",501 to 1000 employees,2010,Company - Private,Business Services,$100 to $500 million (USD)
3,Data Scientist,$56K-$97K (Glassdoor est.),3.8,"PNNL
3.8","Richland, WA",1001 to 5000 employees,1965,Government,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD)
4,Data Scientist,$86K-$143K (Glassdoor est.),2.9,"Affinity Solutions
2.9","New York, NY",51 to 200 employees,1998,Company - Private,Business Services,Unknown / Non-Applicable
5,Data Scientist,$71K-$119K (Glassdoor est.),3.4,"CyrusOne
3.4","Dallas, TX",201 to 500 employees,2000,Company - Public,Real Estate,$1 to $2 billion (USD)
6,Data Scientist,$54K-$93K (Glassdoor est.),4.1,"ClearOne Advantage
4.1","Baltimore, MD",501 to 1000 employees,2008,Company - Private,Finance,Unknown / Non-Applicable
7,Data Scientist,$86K-$142K (Glassdoor est.),3.8,"Logic20/20
3.8","San Jose, CA",201 to 500 employees,2005,Company - Private,Business Services,$25 to $50 million (USD)
8,Research Scientist,$38K-$84K (Glassdoor est.),3.3,"Rochester Regional Health
3.3","Rochester, NY",10000+ employees,2014,Hospital,Health Care,$500 million to $1 billion (USD)
9,Data Scientist,$120K-$160K (Glassdoor est.),4.6,"<intent>
4.6","New York, NY",51 to 200 employees,2009,Company - Private,Information Technology,$100 to $500 million (USD)
10,Data Scientist,$126K-$201K (Glassdoor est.),3.5,"Wish
3.5","San Jose, CA",501 to 1000 employees,2011,Company - Private,Retail,$1 to $2 billion (USD)
11,Data Scientist,$64K-$106K (Glassdoor est.),4.1,"ManTech
4.1","Chantilly, VA",5001 to 10000 employees,1968,Company - Public,Business Services,$1 to $2 billion (USD)
12,Staff Data Scientist - Technology,$106K-$172K (Glassdoor est.),3.2,"Walmart
3.2","Plano, TX",10000+ employees,1962,Company - Public,Retail,$10+ billion (USD)
13,Data Analyst,$46K-$85K (Glassdoor est.),4.1,"Yesler
4.1","Seattle, WA",201 to 500 employees,2012,Company - Private,Business Services,Unknown / Non-Applicable
14,Data Scientist,$83K-$144K (Glassdoor est.),3.7,"Takeda Pharmaceuticals
3.7","Cambridge, MA",10000+ employees,1781,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD)
15,Data Engineer I,$102K-$190K (Glassdoor est.),3.6,"Audible
3.6","Newark, NJ",1001 to 5000 employees,1995,Subsidiary or Business Segment,Media,Unknown / Non-Applicable
16,"Scientist I/II, Biology",$67K-$137K (Glassdoor est.),3.9,"Blueprint Medicines
3.9","Cambridge, MA",51 to 200 employees,2011,Company - Public,Biotech & Pharmaceuticals,$1 to $5 million (USD)
17,Customer Data Scientist,$118K-$189K (Glassdoor est.),4.3,"h2o.ai
4.3","Mountain View, CA",201 to 500 employees,2011,Company - Private,Information Technology,Unknown / Non-Applicable
18,Data Scientist - Health Data Analytics,$110K-$175K (Glassdoor est.),4.2,"Nuna
4.2","San Francisco, CA",51 to 200 employees,2010,Company - Private,Information Technology,Unknown / Non-Applicable
19,Data Scientist,$64K-$111K (Glassdoor est.),4.0,"Pinnacol Assurance
4.0","Denver, CO",501 to 1000 employees,1915,Nonprofit Organization,Insurance,$500 million to $1 billion (USD)
20,Data Scientist,$81K-$130K (Glassdoor est.),3.2,"Porch
3.2","Seattle, WA",201 to 500 employees,2012,Company - Private,Information Technology,Unknown / Non-Applicable
21,Senior Data Scientist / Machine Learning,$73K-$119K (Glassdoor est.),3.9,"Health IQ
3.9","Dallas, TX",201 to 500 employees,2013,Company - Private,Insurance,Unknown / Non-Applicable
22,Data Scientist - Quantitative,$86K-$139K (Glassdoor est.),3.8,"Truckstop.com
3.8","Chicago, IL",501 to 1000 employees,1995,Company - Private,Transportation & Logistics,Unknown / Non-Applicable
23,Data Scientist,$63K-$105K (Glassdoor est.),4.3,"SMC 3
4.3","Louisville, KY",51 to 200 employees,1935,Nonprofit Organization,Transportation & Logistics,$10 to $25 million (USD)
24,Data Scientist,$109K-$177K (Glassdoor est.),4.0,"Novetta
4.0","Herndon, VA",501 to 1000 employees,2012,Company - Private,Information Technology,$100 to $500 million (USD)
25,Digital Health Data Scientist,$63K-$110K (Glassdoor est.),4.0,"Pfizer
4.0","Cambridge, MA",10000+ employees,1849,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD)
26,Data Scientist,$75K-$124K (Glassdoor est.),3.5,"First Tech Federal Credit Union
3.5","Hillsboro, OR",1001 to 5000 employees,1952,Company - Private,Finance,$100 to $500 million (USD)
27,Associate Data Analyst,$34K-$61K (Glassdoor est.),3.7,"The Hanover Insurance Group
3.7","Worcester, MA",5001 to 10000 employees,1852,Company - Public,Insurance,$5 to $10 billion (USD)
28,Clinical Data Scientist,$63K-$105K (Glassdoor est.),4.0,"Pfizer
4.0","Groton, CT",10000+ employees,1849,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD)
29,Data Scientist,$80K-$90K (Glassdoor est.),4.8,"KnowBe4
4.8","Clearwater, FL",501 to 1000 employees,2010,Company - Private,Business Services,$100 to $500 million (USD)
30,Data Scientist,$56K-$97K (Glassdoor est.),3.8,"PNNL
3.8","Richland, WA",1001 to 5000 employees,1965,Government,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD)
31,Data Scientist,$72K-$120K (Glassdoor est.),3.6,"Amrock
3.6","Detroit, MI",1001 to 5000 employees,1997,Company - Private,Real Estate,$500 million to $1 billion (USD)
32,Data Scientist / Machine Learning Expert,$86K-$143K (Glassdoor est.),3.8,"Novartis
3.8","Cambridge, MA",10000+ employees,1996,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD)
33,Data Scientist,$93K-$149K (Glassdoor est.),3.8,"Juniper Networks
3.8","Sunnyvale, CA",5001 to 10000 employees,1996,Company - Public,Telecommunications,$2 to $5 billion (USD)
34,Data Scientist,$85K-$140K (Glassdoor est.),4.7,"New England Biolabs
4.7","Ipswich, MA",201 to 500 employees,1974,Company - Private,Biotech & Pharmaceuticals,Unknown / Non-Applicable
35,Web Data Analyst,$77K-$135K (Glassdoor est.),4.2,"Clarity Insights
4.2","San Jose, CA",201 to 500 employees,2008,Company - Private,Information Technology,Unknown / Non-Applicable
36,Data Scientist,$82K-$132K (Glassdoor est.),3.5,"Esri
3.5","Redlands, CA",1001 to 5000 employees,1969,Company - Private,Information Technology,$1 to $2 billion (USD)
37,Data Scientist,$83K-$137K (Glassdoor est.),4.7,"Systems & Technology Research
4.7","Woburn, MA",201 to 500 employees,2010,Company - Private,Aerospace & Defense,$100 to $500 million (USD)
38,Senior Data Scientist,$115K-$180K (Glassdoor est.),3.5,"Sartorius
3.5","Fremont, CA",5001 to 10000 employees,1870,Company - Public,Biotech & Pharmaceuticals,$1 to $2 billion (USD)
39,Data Engineer,$74K-$138K (Glassdoor est.),3.5,"Lancer Insurance
3.5","Long Beach, NY",201 to 500 employees,1985,Company - Private,Insurance,$100 to $500 million (USD)
40,Data Analyst,$64K-$112K (Glassdoor est.),4.2,"Sauce Labs
4.2","San Francisco, CA",201 to 500 employees,2008,Company - Private,Information Technology,$50 to $100 million (USD)
41,Data Engineer,$68K-$129K (Glassdoor est.),3.6,"Persivia
3.6","Marlborough, MA",1 to 50 employees,-1,Company - Private,-1,Less than $1 million (USD)
42,Data Scientist - Algorithms & Inference,$110K-$175K (Glassdoor est.),4.2,"Nuna
4.2","San Francisco, CA",51 to 200 employees,2010,Company - Private,Information Technology,Unknown / Non-Applicable
43,Scientist,$52K-$113K (Glassdoor est.),3.4,"Edgewell Personal Care
3.4","Allendale, NJ",5001 to 10000 employees,2015,Company - Public,Manufacturing,$2 to $5 billion (USD)
44,Senior Data Scientist,$110K-$150K(Employer est.),4.3,"Equity Residential
4.3","Chicago, IL",1001 to 5000 employees,1993,Company - Public,Real Estate,$2 to $5 billion (USD)
45,Data Scientist,Employer Provided Salary:$150K-$160K,5.0,"BPA Services
5.0","Washington, DC",Unknown,-1,Company - Private,Information Technology,Unknown / Non-Applicable
46,Lead Data Scientist,$158K-$211K (Glassdoor est.),3.7,"Visa Inc.
3.7","Bellevue, WA",10000+ employees,1958,Company - Public,Information Technology,$10+ billion (USD)
47,Associate Data Analyst,$20K-$39K (Glassdoor est.),3.1,"Intrado
3.1","Longmont, CO",5001 to 10000 employees,1986,Company - Private,Information Technology,$2 to $5 billion (USD)
48,Spectral Scientist/Engineer,$56K-$117K (Glassdoor est.),4.7,"Centauri
4.7","Beavercreek, OH",501 to 1000 employees,1999,Company - Private,Aerospace & Defense,$100 to $500 million (USD)
49,College Hire - Data Scientist - Open to December 2019 Graduates,$63K-$99K (Glassdoor est.),3.7,"Caterpillar
3.7","Peoria, IL",10000+ employees,1925,Company - Public,Manufacturing,$10+ billion (USD)
50,Data Scientist,$68K-$114K (Glassdoor est.),3.8,"Zimmerman Advertising
3.8","Fort Lauderdale, FL",501 to 1000 employees,1984,Subsidiary or Business Segment,Business Services,Unknown / Non-Applicable
51,"Data Scientist, Office of Data Science",$86K-$143K (Glassdoor est.),3.3,"Liberty Mutual Insurance
3.3","Boston, MA",10000+ employees,1912,Company - Private,Insurance,$10+ billion (USD)
52,Data Science Analyst,$41K-$95K (Glassdoor est.),4.6,"Torch Technologies, Inc.
4.6","Huntsville, AL",1001 to 5000 employees,2002,Company - Private,Aerospace & Defense,$100 to $500 million (USD)
53,Data Scientist,$86K-$144K (Glassdoor est.),3.7,"Swiss Re
3.7","Armonk, NY",10000+ employees,1863,Company - Public,Insurance,$10+ billion (USD)
54,Data Scientist,$80K-$139K (Glassdoor est.),3.7,"Northrop Grumman
3.7","San Diego, CA",10000+ employees,1939,Company - Public,Aerospace & Defense,$10+ billion (USD)
55,Data Scientist,$56K-$95K (Glassdoor est.),3.5,"Sartorius
3.5","Albuquerque, NM",5001 to 10000 employees,1870,Company - Public,Biotech & Pharmaceuticals,$1 to $2 billion (USD)
56,Data Scientist,$120K-$189K (Glassdoor est.),4.1,"Netskope
4.1","San Francisco, CA",501 to 1000 employees,2012,Company - Private,Information Technology,Unknown / Non-Applicable
57,Data Scientist,$111K-$176K (Glassdoor est.),4.7,"1904labs
4.7","Saint Louis, MO",51 to 200 employees,2016,Company - Private,Information Technology,Unknown / Non-Applicable
58,Data Scientist,$54K-$93K (Glassdoor est.),4.1,"ClearOne Advantage
4.1","Baltimore, MD",501 to 1000 employees,2008,Company - Private,Finance,Unknown / Non-Applicable
59,Data Scientist,$71K-$119K (Glassdoor est.),3.4,"CyrusOne
3.4","Dallas, TX",201 to 500 employees,2000,Company - Public,Real Estate,$1 to $2 billion (USD)
60,Senior Data Scientist,$82K-$132K (Glassdoor est.),4.4,"The David J. Joseph Company
4.4","Cincinnati, OH",201 to 500 employees,1885,Subsidiary or Business Segment,Mining & Metals,Unknown / Non-Applicable
