state,middle_range_salary,cost_of_living_index,salary_col_differential
AL,57937.5,91.21428571428571,25682.85714285714
AZ,85666.66666666667,104.3,45160.0
CA,122493.24324324324,170.26805555555555,65912.22222222222
CO,94125.0,112.1,55022.2
CT,71100.0,104.8,22405.0
DC,110181.81818181818,120.1,64222.0
FL,77625.0,102.85000000000001,50145.5
GA,80666.66666666667,100.3,42978.333333333336
IA,78900.0,89.9,44837.0
IL,116662.5,99.01714285714286,84307.45714285714
IN,90300.0,90.2,56868.0
KY,97000.0,88.26666666666665,63184.666666666664
LA,63000.0,90.53333333333335,28377.333333333332
MA,108483.69565217392,125.70606060606062,51629.21212121212
MD,97357.14285714286,107.0,28714.0
MI,100250.0,95.23333333333333,70885.66666666667
MN,85500.0,105.4,45166.5
MO,84722.22222222222,88.92,26675.4
NC,98452.38095238095,95.15714285714286,62033.666666666664
NE,57000.0,92.9,21416.0
NM,74333.33333333333,92.90000000000002,38796.666666666664
NY,98485.91549295775,122.89846153846153,51825.123076923075
OH,87571.42857142857,91.73333333333335,64047.666666666664
OR,92125.0,113.55,41278.5
PA,97209.67741935483,96.39,65955.8
RI,100000.0,111.5,57305.0
SC,60500.0,91.9,25289.0
TN,100500.0,94.7375,62705.75
TX,100708.33333333333,100.24285714285713,59457.0
UT,94150.0,104.37142857142858,51557.71428571428
VA,95621.9512195122,99.43333333333332,63599.0
WA,93190.47619047618,122.31666666666666,43603.0
WI,73300.0,94.05,37306.1
